1	Test Cases
2
3							Test Description
4	Test Case ID	Requirement Ref	Test Type	Test Level	Title	Pre-condition	Test Case Description	Step No	Test Step Description	Post-condition	Input Data	Expected result	Remarks	Testing methods
27	PROD-008	Product Detail	Functional	System Integration Test	Get by id (not found)	Unknown id	Not found	1	GET /api/products/:id	—	id=badId	Not Found	Negative	ECP (Equivalence Class Partitioning)
28	PROD-009	Product Images	Functional	System Integration Test	Missing image fallback	Product without images	Placeholder	1	Open product detail page	—	—	Placeholder image displayed	UI	ECP (Equivalence Class Partitioning)
29	PROD-010	Product Security	Security	System Integration Test	No internal fields leaked	—	Response fields audit	1	GET any product	—	—	No secret fields (cost, tokens)	Security	ECP (Equivalence Class Partitioning)
30
31	CART-001	Cart	Functional	System Integration Test	Add item valid	stock≥5	Add qty=1	1	POST /api/cart {productId, qty:1}	Item added	productId=valid; qty=1	item in cart	Positive	ECP (Equivalence Class Partitioning)
32	CART-002	Cart	Functional	System Integration Test	BVA qty=0	stock≥1	Min boundary	1	POST /api/cart {qty:0}	Not added	qty=0	qty >= 1'	OFF–	BVA (Boundary Value Analysis)
33	CART-003	Cart	Functional	System Integration Test	BVA qty=stock	stock known	Max OK	1	POST /api/cart {qty:stock}	Item added	qty=stock	 OK	ON	BVA (Boundary Value Analysis)
34	CART-004	Cart	Functional	System Integration Test	OFF+ qty>stock	stock known	Exceed	1	POST /api/cart {qty:stock+1}	Not added	qty=stock+1	 'exceeds stock'	OFF+	BVA (Boundary Value Analysis)
35	CART-005	Cart	Functional	System Integration Test	Merge same product	cart has same prod qty=2	Merge increments	1	POST /api/cart {qty:3}	qty updated	-> 5	≤ stock	State	ECP (Equivalence Class Partitioning)
36	CART-006	Cart	Functional	System Integration Test	Update qty to 0	cart has item	Remove item	1	PATCH /api/cart/:itemId {qty:0}	Item removed	—	 removed	State	ECP (Equivalence Class Partitioning)
37	CART-007	Cart	Functional	System Integration Test	Remove not-exist item	—	Robust DELETE	1	DELETE /api/cart/:badId	—	badId	 Not Found	Negative	ECP (Equivalence Class Partitioning)
38	CART-008	Cart	Security	System Integration Test	Tamper price from FE	—	Server recalculates	1	POST order with client unitPrice altered	No client price trusted	unitPrice altered	Server ignores FE price	Security	ECP (Equivalence Class Partitioning)
39
40	ORD-001	Checkout	Functional	System Integration Test	Create order COD (happy)	Logged-in; stock OK; address OK	Place order COD	1	POST /api/orders {items,address,method:COD}	Order created	valid body	orderId; stock−	Happy	State-based
41	ORD-002	Checkout	Functional	System Integration Test	Create order Online (happy)	Logged-in; sandbox ok	Paid order	1	POST /api/orders {method:ONLINE}	Order created paid	—	status=paid	Happy	State-based
42	ORD-003	Checkout	Functional	System Integration Test	Out of stock	item qty>stock	Block	1	POST /api/orders	No order	—	 'Out of stock'	Negative	ECP (Equivalence Class Partitioning)
43	ORD-004	Checkout	Functional	System Integration Test	Missing address	—	Validation	1	POST /api/orders with missing phone/zip	No order	invalid addr	Unprocessable Entity	Validation	State-based
44	ORD-005	Checkout	Security	System Integration Test	Unauthorized (no token)	—	Auth required	1	POST /api/orders without token	No order	—	 Unauthorized	Security	Security
45	ORD-006	Checkout	Security	System Integration Test	Expired token	Have expired token	Enforce expiry	1	POST /api/orders with expired token	No order	token expired	 'expired'	Security	Security
46	ORD-007	Order	Functional	System Integration Test	Get my order	Existing order of user	Owner can view	1	GET /api/orders/:id	—	owner token	 details	Positive	State-based
47	ORD-008	Order	Security	System Integration Test	Get others’ order	Order of other user	Forbidden	1	GET /api/orders/:id with other user	—	other user token	 Forbidden	Security	State-based
48	ORD-009	Checkout	Functional	System Integration Test	Double submit (idempotency)	FE clicks twice	Only 1 order	1	POST twice quickly	One order only	—	no duplicate	Robustness	Security
49	ORD-010	Pricing	Functional	System Integration Test	Shipping/discount boundaries	—	BVA	1	Apply shipping=0/max, discount=0/100%	Totals correct	edge values	Correct totals / reject invalid	BVA	BVA (Boundary Value Analysis)
50
51	ADM-001	Admin Products	Security/Functional	System Integration Test	Guard admin area (user→403)	Login as normal user	Access admin list	1	GET /api/admin/products with user token	Blocked	user token	Forbidden	RBAC	Security (RBAC/Authorization)
52	ADM-002	Admin Products	Functional	System Integration Test	List products (admin)	Login as admin	Admin can list	1	GET /api/admin/products with admin token	200 list	admin token	OK	Positive	ECP (Equivalence Class Partitioning)
53	ADM-003	Admin Products	Functional	System Integration Test	Create product	Admin	Create valid product	1	POST /api/admin/products {name,price,stock}	Product created	valid fields	Created (id)	Positive	ECP (Equivalence Class Partitioning)
54	ADM-004	Admin Products	Functional	System Integration Test	Create invalid product	Admin	Validation	1	POST /api/admin/products {missing name}	Not created	missing name	Unprocessable Entity	Validation	ECP (Equivalence Class Partitioning)
55	ADM-005	Admin Products	Functional	System Integration Test	Update product	Admin + existing product	Update OK	1	PUT /api/admin/products/:id	Product updated	payload valid	OK	Positive	State-based (Resource Update)
56	ADM-006	Admin Products	Functional	System Integration Test	Delete product	Admin + existing product	Delete OK	1	DELETE /api/admin/products/:id	Product removed	id valid	200/204	Positive	State-based (Resource Deletion)
57	ADM-007	Admin Orders	Security	System Integration Test	View all orders	Admin only	Permission	1	GET /api/admin/orders	list of orders	admin token	admin / user	RBAC	Security (RBAC/Authorization)
58
59	PAY-001	Payment Online	Functional	System Integration Test	Initiate payment session (success)	Logged-in; order draft ready	Create payment session	1	POST /api/payments/session {orderId, method:ONLINE}	Session created	orderId=valid	sessionId; redirectUrl	Happy	ECP (Equivalence Class Partitioning)
60	PAY-002	Payment Online	Functional	System Integration Test	Initiate payment with invalid order	—	Reject invalid orderId	1	POST /api/payments/session {orderId:bad}	No session	orderId=bad	Not Found	Negative	ECP (Equivalence Class Partitioning)
61	PAY-003	Payment Online	Functional	System Integration Test	Amount calculated server-side	—	Ignore client amount	1	POST session with tampered amount	Server recalculates	clientAmount=999999	Server uses serverAmount only	Security	ECP (Equivalence Class Partitioning)
62	PAY-004	Payment Online	Functional	System Integration Test	3DS required flow (if supported)	Gateway supports 3DS	Handle challenge	1	Complete 3DS challenge in sandbox	Payment authorized	—	Order status=paid; receipt id	3DS	ECP (Equivalence Class Partitioning)
63	PAY-005	Payment Online	Functional	System Integration Test	Payment failed (insufficient funds)	Sandbox card for decline	Handle failure	1	Confirm payment with decline test card	Payment failed	testCard=declined	Order remains unpaid; error message	Negative	ECP (Equivalence Class Partitioning)
64	PAY-006	Payment Online	Security	System Integration Test	Currency mismatch/tamper	Order currency=USD	Enforce currency	1	Send currency=EUR in request	Server rejects/maps	currency=EUR	 forced USD; no under/over-charge	Security	Security
65	PAY-007	Payment Online	Security	System Integration Test	Idempotency key on confirm	—	Avoid double charge	1	POST /payments/confirm twice with same idempotency-key	Single charge	idempotencyKey=abc	Second request returns same result/no extra charge	Idempotency	ECP (Equivalence Class Partitioning)
66	PAY-008	Payment Online	Functional	System Integration Test	Timeout & retry policy	Gateway slow	Graceful handling	1	Simulate timeout from gateway	No double charge	—	Retry with backoff / show pending; safe status	Resilience	ECP (Equivalence Class Partitioning)
67	PAY-009	Payment Online	Security	System Integration Test	Prevent price/quantity tamper	—	Server re-fetches items	1	Alter item price/qty on FE before pay	Server ignores FE values	items altered	Charge computed from DB	Security	Security
68	PAY-010	Payment Online	Functional	System Integration Test	Partial capture (if supported)	Order supports capture	Capture subset	1	Capture amount < authorized	Captured correctly	amount=partial	Order reflects partial capture	Optional	ECP (Equivalence Class Partitioning)
69	PAY-011	Payment Online	Functional	System Integration Test	Cancel payment session	Session created	Cancel before confirm	1	DELETE /payments/session/:id	Session invalidated	sessionId=valid	Further confirm rejected	UX	ECP (Equivalence Class Partitioning)
70	PAY-012	Payment Online	Functional	System Integration Test	Webhook late but payment ok	Pending before webhook	Handle async	1	Complete payment then webhook arrives late	Order eventually paid	—	System reconciles on webhook/polling	Async	ECP (Equivalence Class Partitioning)
71
